Capital,Latitud,Longitud
Aguascalientes,21.8853,-102.2916
Mexicali,32.6245,-115.4523
La Paz,24.1426,-110.3128
Campeche,19.8301,-90.5349
Tuxtla Gutiérrez,16.7516,-93.1029
Chihuahua,28.632,-106.0691
Ciudad de México,19.4326,-99.1332
Saltillo,25.4232,-101.0053
Colima,19.2452,-103.7241
Durango,24.0277,-104.6532
Guanajuato,21.019,-101.2574
Chilpancingo,17.5515,-99.5006
Pachuca,20.1011,-98.7591
Guadalajara,20.6597,-103.3496
Toluca,19.2826,-99.6557
Morelia,19.706,-101.195
Cuernavaca,18.9242,-99.2216
Tepic,21.5085,-104.8957
Monterrey,25.6866,-100.3161
Oaxaca de Juárez,17.0732,-96.7266
Puebla,19.0414,-98.2063
Santiago de Querétaro,20.5888,-100.3899
Chetumal,18.5001,-88.2961
San Luis Potosí,22.1565,-100.9855
Culiacán,24.8091,-107.394
Hermosillo,29.0729,-110.9559
Villahermosa,17.9895,-92.9475
Ciudad Victoria,23.7369,-99.1411
Tlaxcala,19.3182,-98.2375
Xalapa,19.5438,-96.9102
Mérida,20.9674,-89.5926
Zacatecas,22.7709,-102.5833
