Origen,Aguascalientes,Mexicali,La Paz,Campeche,Tuxtla Gutiérrez,Chihuahua,Ciudad de México,Saltillo,Colima,Durango,Guanajuato,Chilpancingo,Pachuca,Guadalajara,Toluca,Morelia,Cuernavaca,Tepic,Monterrey,Oaxaca de Juárez,Puebla,Santiago de Querétaro,Chetumal,San Luis Potosí,Culiacán,Hermosillo,Villahermosa,Ciudad Victoria,Tlaxcala,Xalapa,Mérida,Zacatecas
Aguascalientes,0.00,25.42,12.67,18.08,16.42,12.42,7.25,7.00,5.67,5.83,3.08,9.00,7.08,3.67,6.75,4.67,7.75,4.75,7.83,11.75,8.50,4.33,21.83,2.92,9.08,17.25,15.67,6.50,8.17,9.17,19.17,2.25
Mexicali,25.42,0.00,15.67,40.83,40.83,14.67,31.42,23.33,27.25,20.67,27.50,33.25,31.08,25.83,31.08,29.00,31.92,23.42,23.92,36.58,32.83,28.83,44.67,26.50,17.08,8.67,39.75,27.00,32.50,33.67,41.00,24.17
La Paz,12.67,15.67,0.00,30.08,28.33,9.83,18.42,14.00,12.92,8.58,14.58,19.50,18.50,12.08,17.83,15.58,18.67,9.33,15.00,23.42,19.92,16.00,33.92,14.42,5.25,8.83,27.75,16.58,19.75,21.33,31.00,11.92
Campeche,18.08,40.83,30.08,0.00,7.33,26.67,13.33,18.08,20.08,22.17,16.42,14.42,12.75,19.50,14.08,16.33,13.50,21.83,17.42,10.75,12.00,15.17,4.83,16.33,26.25,33.08,5.58,14.50,12.00,10.00,3.33,18.75
Tuxtla Gutiérrez,16.42,40.83,28.33,7.33,0.00,27.00,10.50,18.42,16.92,21.00,14.42,10.25,10.50,17.00,11.17,13.50,10.33,19.58,18.08,6.58,8.83,13.00,8.67,15.00,25.00,32.75,2.92,14.67,9.08,8.17,8.83,17.42
Chihuahua,12.42,14.67,9.83,26.67,27.00,0.00,18.08,9.08,15.67,8.50,14.33,20.33,17.58,13.67,17.92,16.25,18.67,11.92,9.83,23.17,19.33,15.58,30.58,13.00,7.50,8.00,25.75,13.00,19.00,19.92,26.92,11.00
Ciudad de México,7.25,31.42,18.42,13.33,10.50,18.08,0.00,10.33,8.08,11.42,4.92,4.25,1.92,7.75,1.42,4.42,1.42,9.50,10.58,6.25,2.33,4.00,16.75,6.17,15.25,23.25,10.08,8.00,2.08,4.17,14.83,8.25
Saltillo,7.00,23.33,14.00,18.08,18.42,9.08,10.33,0.00,11.08,6.75,8.25,13.17,9.42,8.67,10.42,9.42,11.08,8.75,1.75,15.08,11.42,8.67,22.00,6.25,9.75,15.58,17.08,4.67,11.00,11.58,18.42,5.75
Colima,5.67,27.25,12.92,20.08,16.92,15.67,8.08,11.08,0.00,8.58,5.58,8.08,8.42,3.42,7.25,4.75,8.00,4.92,11.83,11.58,8.58,6.50,23.50,7.25,10.83,19.17,16.75,10.33,8.58,10.67,21.58,6.92
Durango,5.83,20.67,8.58,22.17,21.00,8.50,11.42,6.75,8.58,0.00,8.08,13.25,11.17,6.75,11.00,8.92,11.83,4.92,8.00,16.50,12.83,8.67,26.00,7.25,5.08,12.42,20.17,8.92,12.50,13.83,22.92,4.50
Guanajuato,3.08,27.50,14.58,16.42,14.42,14.33,4.92,8.25,5.58,8.08,0.00,7.25,4.92,4.42,4.50,3.08,5.42,6.50,8.42,9.75,6.58,2.25,20.08,2.75,11.25,19.25,13.75,6.33,6.25,8.08,17.67,4.25
Chilpancingo,9.00,33.25,19.50,14.42,10.25,20.33,4.25,13.17,8.08,13.25,7.25,0.00,5.08,8.50,4.17,5.17,3.25,10.67,13.42,5.17,4.33,6.00,17.33,8.50,16.75,25.00,10.42,10.33,4.25,6.00,16.17,9.92
Pachuca,7.08,31.08,18.50,12.75,10.50,17.58,1.92,9.42,8.42,11.17,4.92,5.08,0.00,8.08,2.83,4.58,3.00,9.83,9.50,6.75,2.83,3.75,16.25,5.58,15.08,22.92,9.83,6.92,2.25,4.08,14.08,8.33
Guadalajara,3.67,25.83,12.08,19.50,17.00,13.67,7.75,8.67,3.42,6.75,4.42,8.50,8.08,0.00,7.00,4.42,7.92,4.00,9.42,11.92,8.42,5.33,23.08,5.17,9.17,17.67,16.50,8.83,8.83,10.25,20.75,4.42
Toluca,6.75,31.08,17.83,14.08,11.17,17.92,1.42,10.42,7.25,11.00,4.50,4.17,2.83,7.00,0.00,3.50,1.50,8.92,10.67,6.75,3.25,3.42,17.50,6.00,14.75,22.83,10.75,8.33,3.17,5.00,15.67,8.25
Morelia,4.67,29.00,15.58,16.33,13.50,16.25,4.42,9.42,4.75,8.92,3.08,5.17,4.58,4.42,3.50,0.00,4.50,7.33,10.08,8.83,5.58,2.75,19.75,4.75,12.67,20.83,13.08,8.33,5.42,7.58,17.75,6.33
Cuernavaca,7.75,31.92,18.67,13.50,10.33,18.67,1.42,11.08,8.00,11.83,5.42,3.25,3.00,7.92,1.50,4.50,0.00,9.83,11.33,5.75,2.33,4.42,16.83,6.83,15.67,23.67,10.00,8.58,2.42,4.42,15.17,8.83
Tepic,4.75,23.42,9.33,21.83,19.58,11.92,9.50,8.75,4.92,4.92,6.50,10.67,9.83,4.00,8.92,7.33,9.83,0.00,9.92,14.50,11.17,8.00,25.50,6.92,7.50,15.25,19.08,9.50,11.00,12.75,22.92,4.83
Monterrey,7.83,23.92,15.00,17.42,18.08,9.83,10.58,1.75,11.83,8.00,8.42,13.42,9.50,9.42,10.67,10.08,11.33,9.92,0.00,15.08,11.42,8.42,21.33,6.75,10.75,16.33,16.75,4.33,11.00,11.42,17.67,6.75
